Item1,Item2
Arroz,Feijão
​Hambúrguer,Sanduíche
​Pizza,Calzone
​Sushi,Sashimi
​Café,Chá
​Cerveja,Chopp
​Vinho,Suco de Uva
​Sorvete,Gelato
​Maçã,Pêra
​Coxinha,Rissole
​Chocolate,Cacau
​Manteiga,Margarina
​Leite,Iogurte
​Bacon,Presunto
​Espetinho,Churrasco
​Leão,Tigre
​Cachorro,Lobo
​Gato,Onça
​Abelha,Vespa
​Aranha,Escorpião
​Cavalo,Zebra
​Jacaré,Crocodilo
​Tartaruga,Jabuti
​Baleia,Golfinho
​Rato,Hamster
​Árvore,Arbusto
​Rio,Lago
​Chuva,Tempestade
​Sol,Lua
​Estrela,Planeta
​Cadeira,Poltrona
​Cama,Sofá
​Copo,Taça
​Garfo,Colher
​Prato,Bandeja
​Janela,Porta
​Espelho,Quadro
​Escova de dente,Fio dental
​Travesseiro,Almofada
​Toalha,Roupão
​Relógio,Cronômetro
​Martelo,Alicate
​Caneta,Lápis
​Caderno,Livro
​Mochila,Mala
​Celular,Tablet
​Computador,Laptop
​Mouse,Teclado
​Fone de ouvido,Caixa de som
​Cinema,Teatro
​Rádio,Podcast
​YouTube,TikTok
​Instagram,Facebook
​Netflix,Disney+
​Wi-Fi,Bluetooth
​Avião,Helicóptero
​Carro,Moto
​Bicicleta,Patins
​Elevador,Escada rolante
​Ônibus,Trem
​Médico,Enfermeiro
​Professor,Aluno
​Ator,Dublador
​Cantor,Compositor
​Cozinheiro,Garçom
​Bombeiro,Policial
​Advogado,Juiz
​Futebol,Futsal
​Vôlei,Basquete
​Natação,Surfe
​Boxe,Muay Thai
​Corrida,Caminhada
​Yoga,Pilates
​Violão,Guitarra
​Piano,Teclado (instrumento)
​Amor,Amizade
​Medo,Fobia
​Mentira,Segredo
​Sonho,Pesadelo
​Praia,Piscina
​Montanha,Deserto
​Escola,Faculdade
​Hospital,Farmácia
​Supermercado,Feira
​Museu,Biblioteca
​Igreja,Templo
​Casamento,Batizado
​Aniversário,Carnaval
​Verão,Inverno
​Manhã,Noite
​Óculos de sol,Óculos de grau
​Meia,Sapato
​Shampoo,Condicionador
​Perfume,Desodorante
​Açúcar,Adoçante
​Sal,Pimenta
​Guardanapo,Papel higiênico
​Cartão de crédito,Dinheiro
​Bateria,Pilha
​Espuma,Bolha
Cultura Pop e Entretenimento
​Batman,Homem-Aranha
​Harry Potter,Percy Jackson
​Star Wars,Star Trek
​Barbie,Polly Pocket
​Mickey Mouse,Pica-Pau
​Pikachu,Agumon
​Superman,Capitão América
​Shrek,Sulley (Monstros S.A.)
​Goku,Naruto
​Mario,Sonic
​James Bond,Sherlock Holmes
​Vingadores,Liga da Justiça
​Oscar,Grammy
​Rock in Rio,Lollapalooza
​Big Brother,A Fazenda
​Ketchup,Maionese
​Mostarda,Mel
​Lasanha,Nhoque
​Pipoca Doce,Pipoca Salgada
​Pastel,Empada
​Pudim,Gelatina
​Brigadeiro,Beijinho
​Pão de Forma,Pão Francês
​Tapioca,Crepioca
​Yakisoba,Miojo
​Água com Gás,Refrigerante
​Limonada,Caipirinha
​Queijo Minas,Queijo Prato
​Presunto,Mortadela
​Açaí,Sorbet
​Hotel,Pousada
​Hostel,Airbnb
​Navio,Cruzeiro
​Passaporte,RG
​Mala de Rodinha,Mochilão
​Mapa,GPS
​Estação de Trem,Aeroporto
​Cachoeira,Riacho
​Ilha,Península
​Neve,Geada
​São Paulo,Rio de Janeiro
​Disney,Beto Carrero
​Safari,Zoológico
​Floresta,Selva
​Campo,Fazenda
​E-mail,WhatsApp
​Reunião,Palestra
​Agenda,Calendário
​Grampeador,Clips
​Impressora,Scanner
​Post-it,Marca-texto
​Calculadora,Excel
​Crachá,Uniforme
​Chefe,Estagiário
​Salário,Bônus
​Currículo,LinkedIn
​Férias,Feriado
​Home Office,Coworking
​Cafézinho,Água do bebedouro
​Caneca,Garrafa Térmica
​Play Station,Xbox
​iPhone,Android
​Spotify,YouTube Music
​Kindle,Tablet
​Mousepad,Descanso de pulso
​Selfie,Foto 3x4
​Hashtag,Arroba (@)
​Filtro,Photoshop
​Podcast,Audiobook
​Nuvem,Pen Drive
​Calça Jeans,Calça de Moletom
​Camiseta,Regata
​Tênis,Sapato Social
​Chinelo,Sandália
​Boné,Chapéu
​Cachecol,Gravata
​Jaqueta,Sobretudo
​Pijama,Camisola
​Biquíni,Maiô
​Cinto,Suspensório
​Vírus,Bactéria
​Remédio,Vitamina
​Injeção,Vacina
​Curativo,Atadura
​Termômetro,Estetoscópio
​Dentista,Oculista
​DNA,Impressão Digital
​Cérebro,Coração
​Sangue,Plasma
​Oxigênio,Ar Comprimido
​Preguiça,Cansaço
​Raiva,Ciúme
​Coragem,Arrogância
​Sorte,Destino
​Inteligência,Sabedoria
​Sorriso,Risada
​Choro,Soluço
​Silêncio,Barulho
​Futuro,Passado
​Verdade,Fato
​Mickey Mouse,Pernalonga
​Darth Vader,Voldemort
​Elsa,Cinderela
​Hulk,Shrek
​Marvel,DC
​Jedi,Ninja
​Pirata,Viking
​Zumbi,Vampiro
​Fantasma,Esqueleto
​Aeroporto,Rodoviária
​Estádio,Ginásio
​Padaria,Confeitaria
​Açougue,Peixaria
​Banco,Lotérica
​Shopping,Galeria
​Parque,Praça
​Fazenda,Sítio
​Caverna,Túnel
​Cozinha,Banheiro
​Quarto,Sala
​Garagem,Quintal
​Varanda,Terraço
​Coxinha,Quibe
​Purê,Sopa
​Pipoca,Salgadinho
​Melancia,Melão
​Limonada,Laranjada
​Vodka,Cachaça
​Whisky,Rum
​Champagne,Espumante
​Bolo,Torta
​Parafuso,Prego
​Chave de fenda,Chave inglesa
​Furadeira,Britadeira
​Régua,Fita métrica
​Tesoura,Estilete
​Cola bastão,Cola branca
​Carimbo,Selo
​Pasta,Envelope
​Borracha,Corretivo
​Calculadora,Ábaco
​Mapa,Globo
​Lanterna,Lâmpada
​Vela,Isqueiro
​Pilha,Carregador
​Tênis,Ping-pong
​Patinete,Skate
​Mergulho,Snorkel
​Escalada,Rapel
​Trilha,Acampamento
​Baralho,Dominó
​Xadrez,Damas
​Videogame,Tabuleiro
​Quebra-cabeça,Lego
​Pescaria,Caça
​Dança,Ginástica
​Balé,Sapateado
​Circo,Parque de diversão
​Piscina,Ofurô
​Sauna,Hidromassagem
​Calça,Bermuda
​Saia,Vestido
​Gravata,Lenço
​Chapéu,Boné
​Bota,Tênis
​Anel,Aliança
​Colar,Pulseira
​Brinco,Piercing
​Luva,Touca
​Passado,Futuro
​Verdade,Mentira
​Trabalho,Emprego
​Dinheiro,Riqueza
​Fama,Poder
​Guerra,Paz
​Velocidade,Aceleração
Zeus,Júpiter
​Pirâmide,Esfinge
​Cavaleiro,Samurai
​Castelo,Palácio
​Rei,Imperador
​Grécia,Roma
​Egito,Mesopotâmia
​Arqueólogo,Historiador
​Estátua,Monumento
​Coroa,Trono
​DNA,Célula
​Pulmão,Brânquia
​Sangue,Seiva
​Osso,Músculo
​Microscópio,Telescópio
​Laboratório,Oficina
​Vacina,Remédio
​Química,Física
​Átomo,Molécula
​Robô,Inteligência Artificial
​Gravidade,Magnetismo
​Órbita,Trajetória
​Cometa,Asteroide
​Diretor,Produtor
​Roteiro,Livro
​Ator,Dublê
​Terror,Suspense
​Comédia,Sátira
​Documentário,Reportagem
​Novela,Série
​Comercial,Trailer
​Pipoca,Nachos
​Legendado,Dublado
​Estúdio,Cenário
​Claquete,Câmera
​Herói,Vilão
​Figurino,Maquiagem
​Saxofone,Trompete
​Flauta,Clarinete
​Violoncelo,Contrabaixo
​Harpa,Lira
​Tambor,Bateria
​Rock,Metal
​Samba,Pagode
​Rap,Hip Hop
​Maestro,Regente
​Partitura,Letra
​Estrofe,Refrão
​Show,Festival
​Microfone,Megafone
​Vinil,CD
​Spotify,Deezer
​Neve,Granizo
​Geada,Orvalho
​Furacão,Tornado
​Vulcão,Terremoto
​Deserto,Savana
​Selva,Floresta
​Pantanal,Mangue
​Oceano,Mar
​Cachoeira,Corredeira
​Bússola,GPS
​Mapa,Carta náutica
​Altitude,Latitude
​Polo Norte,Antártida
​Equador,Meridiano
​Tsunami,Ressaca
​Coca-Cola,Pepsi
​McDonald's,Burger King
​Adidas,Nike
​Apple,Samsung
​Visa,Mastercard
​Ferrari,Lamborghini
​Uber,99
​Shopee,AliExpress
​Mercado Livre,Amazon
​Rolex,Casio
​Boneca,Urso de pelúcia
​Carrinho,Autorama
​Ioiô,Pião
​Pipa,Balão
​Esconde-esconde,Pega-pega
​Amarelinha,Pula-corda
​Giz de cera,Canetinha
​Massinha,Slime
​Fralda,Chupeta
​Berço,Carrinho de bebê
​Alho,Cebola
​Vinagre,Azeite
​Esponja,Bombril
​Detergente,Sabão em pó
​Tapete,Capacho
​Cortina,Persiana
​Tomada,Interruptor
​Escada,Rampa
​Ponte,Viaduto
​Farol,Poste
Coxinha,Empada

Nhoque,Capeletti
Risoto,Paella
Brownie,Petit Gâteau
Croissant,Pão de Queijo
Maionese,Patê
Chimichurri,Vinagrete
Granola,Aveia
Mel,Melaço
Shimeji,Shitake
Bacon,Torresmo
Salame,Copa
Torta,Quiche
Águia,Falcão
Avestruz,Emu
Búfalo,Touro
Esquilo,Hamster
Polvo,Lula
Estrela-do-mar,Ouriço-do-mar
Flamingo,Garça
Beija-flor,Borboleta
Girassol,Margarida
Cacto,Suculenta
Caverna,Gruta
Nevoeiro,Neblina
Granizo,Neve
Friends,How I Met Your Mother
Stranger Things,Dark
Round 6,Jogos Vorazes
Batman,Homem de Ferro (Playboys heróis)
Mulher-Maravilha,Capitã Marvel
Harry Potter,Senhor dos Anéis
Netflix,Prime Video
Oscar,Globo de Ouro
Reality Show,Documentário
Dublê,Ator
Vilão,Anti-herói
Furadeira,Parafusadeira
Estilete,Tesoura
Trena,Fita Métrica
Cadeado,Fechadura
Isqueiro,Fósforo
Lanterna,Lâmpada de emergência
Vassoura,Aspirador de pó
Balde,Bacia
Cabide,Pregador
Pregos,Parafusos
Piercing,Brinco
Tatuagem,Henna
Peruca,Extensão (Mega hair)
Rímel,Delineador
Sobretudo,Capa de chuva
Sandália,Rasteirinha
Gravata,Suspensório
Relógio de pulso,Smartwatch
Aliança,Anel de formatura
Uniforme,Fantasia
Prédio,Arranha-céu
Elevador,Escada
Viaduto,Túnel
Praça,Parque
Estacionamento,Garagem
Farmácia,Posto de Saúde
Aeroporto,Rodoviária
Hotel,Motel
Museu,Galeria de Arte
Biblioteca,Livraria
Wi-Fi,Dados Móveis (4G/5G)
Teclado,Máquina de escrever
Notebook,Tablet
Mouse,Trackpad
Instagram,TikTok
E-mail,Carta
WhatsApp,Telegram
Podcast,Rádio
Nuvem (Cloud),HD Externo
Hacker,Programador
Musculação,Crossfit
Futsal,Futebol Society
Natação,Hidroginástica
Surf,Skate
Boxe,MMA
Cérebro,Mente
Veia,Artéria
Músculo,Tendão
Osso,Cartilagem
Cicatriz,Marca de nascença
Caneta,Marca-texto
Caderno,Agenda
Lápis,Lapiseira
Borracha,Corretivo
Dicionário,Enciclopédia
Mapa,Globo Terrestre
Aniversário,Casamento
Sonho,Meta
Segredo,Fofoca
Sorte,Talento
Férias,Feriado
Presente,Brinde
Passado,Futuro
Caneca,Xícara
Pote,Tupperware
Almofada,Puff
Estante,Prateleira
Lâmpada,Holofote
Frigideira,Panela
Ralo,Sifão
Vassoura,Rodo
Ferro de passar,Vaporizador
Filtro de barro,Purificador
Cabide,Arara
Gaveta,Prateleira
Mortadela,Salame
Quibe,Esfiha
Churros,Crepe
Milho,Ervilha
Nozes,Castanhas
Paçoca,Pé de moleque
Água de coco,Caldo de cana
Cappuccino,Mochaccino
Batata doce,Mandioca
Parmesão,Provolone
Manjericão,Orégano
Shoyu,Molho Inglês
Canela,Cravo
Cisne,Ganso
Esquilo,Marmota
Alce,Cervo
Camelo,Dromedário
Coruja,Gavião
Pinguim,Pelicano
Grilo,Gafanhoto
Cupim,Formiga
Orquídea,Bromélia
Samambaia,Musgo
Gruta,Fenda
Pantanal,Brejo
Robin Hood,Zorro
Indiana Jones,Lara Croft
Peter Pan,Pinóquio
Minions,Smurfs
Coringa,Charada
Malévola,Cruella
Pokémon,Digimon
Anime,Desenho Animado
Ópera,Musical
Circo,Show de Mágica
Biografia,Documentário
Lambada,Forró
Sapateado,Flamenco
Moletom,Cardigã
Legging,Meia-calça
All Star,Vans
Gravata borboleta,Gravata comum
Smoking,Terno
Brilhante,Diamante
Prata,Platina
Esmalte,Batom
Mochila,Pochete
Pantufa,Chinelo
Piloto,Comissário
Psicólogo,Psiquiatra
Cientista,Inventor
Designer,Arquiteto
Garçom,Maitre
Cartório,Fórum
Posto de Gasolina,Oficina
Papelaria,Livraria
Pet Shop,Clínica Veterinária
Cinema,Drive-in
Bluetooth,Infravermelho
Satélite,Foguete
Telescópio,Binóculo
Bateria,Capacitor
Touchpad,Mouse
QR Code,Código de Barras
Notebook,Chromebook
Realidade Virtual,Realidade Aumentada
Site,Aplicativo
E-book,Audiobook
Beisebol,Softbol
Tênis,Badminton
Maratona,Triatlo
Karatê,Judô
Capoeira,Dança de Rua
Boliche,Bilhar (Sinuca)
Dardos,Arco e flecha
Asa-delta,Paraquedas
Jet Ski,Lancha
Caiaque,Canoa
Ética,Moral
Orgulho,Vaidade
Inveja,Cobiça
Destino,Coincidência
Imaginação,Criatividade
Teoria,Prática
Regra,Lei
Poesia,Crônica
Sonho,Alucinação
Espaço,Vácuo
Relógio,Cronômetro
​Aspirador de pó,Vassoura
​Pote,Tupperware
​Lâmpada,Lanterna
​Almofada,Puff
​Estante,Prateleira
​Frigideira,Panela
​Garrafa térmica,Jarra
​Cabide,Arara
​Tapete,Carpete
​Piscina,Lagoa
​Chuveiro,Banheira
​Sabonete,Detergente
​Esponja,Palha de aço
​Travesseiro,Encosto
​Ventilador,Ar condicionado
​Aquecedor,Lareira
​Quibe,Esfiha
​Empada,Pastel
​Pão de queijo,Chipa
​Croissant,Folhado
​Mortadela,Salame
​Presunto,Peito de peru
​Cheddar,Requeijão
​Maionese,Catchup
​Pimenta,Chimichurri
​Granola,Aveia
​Cereal,Sucrilhos
​Iogurte,Coalhada
​Gelatina,Pudim
​Mousse,Pavê
​Biscoito,Bolacha
​Torrada,Pão de forma
​Tapioca,Beiju
​Açaí,Cupuaçu
​Suco,Vitamina
​Cappuccino,Café com leite
​Chá preto,Café
​Refrigerante,Água com gás
​Cerveja,Vinho
​Vodka,Tequila
​Uísque,Conhaque
​Lobo,Raposa
​Urso,Panda
​Gato,Lince
​Cavalo,Burro
​Zebra,Girafa
​Elefante,Mamute
​Rinoceronte,Hipopótamo
​Jacaré,Lagarto
​Cisne,Ganso
​Pato,Marreco
​Pinguim,Foca
​Baleia,Tubarão
​Golfinho,Orca
​Abelha,Formiga
​Grilo,Gafanhoto
​Cacto,Suculenta
​Rosa,Orquídea
​Gramado,Musgo
​Praia,Ilha
​Deserto,Duna
​Vulcão,Montanha
​Terremoto,Tsunami
​Nevoeiro,Neblina
​Granizo,Geada
​Batman,Homem de Ferro
​Super-Homem,Capitão América
​Homem-Aranha,Deadpool
​Hogwarts,Nárnia
​Pokémon,Digimon
​WhatsApp,Telegram
​Instagram,TikTok
​Netflix,YouTube
​Kindle,Livro
​E-mail,Carta
​Site,Aplicativo
​Hacker,Programador
​Teclado,Máquina de escrever
​Mouse,Touchpad
​Viagem,Passeio
​Aniversário,Festa
​Casamento,Noivado
Papel higiênico,Lenço de papel
​Guardanapo,Papel toalha
​Cesta,Sacola
​Carrinho de compras,Cestinha
​Esfregão,Mop
​Vassoura de palha,Vassoura de pelo
​Balde,Bacia
​Mangueira,Regador
​Enxada,Pá
​Martelo,Marreta
​Porca,Arruela
​Alicate,Torquês
​Serrote,Serra tico-tico
​Trena,Metro
​Giz,Canetão
​Lousa,Quadro branco
​Caderno,Bloco de notas
​Post-it,Marcador de página
​Clips,Grampo
​Elástico,Cordão
​Barbante,Fio de nylon
​Fita isolante,Fita crepe
​Durex,Cola quente
​Estojo,Necessaire
​Mochila,Maleta
​Moeda,Nota
​Cartão,Pix
​Carteira,Porta-níquel
​Chaveiro,Cordão de crachá
​Crachá,Medalha
​Troféu,Placa de homenagem
​Pórtico,Portão
​Muro,Grade
​Calçada,Ciclovia
​Asfalto,Paralelepípedo
​Sinaleira,Placa de pare
​Poste,Hidrante
​Antena,Parabólica
​Torre,Farol
​Ponte,Passarela
​Viaduto,Trincheira
​Bueiro,Sarjeta
​Escada de mão,Escada caracol
​Sótão,Porão
​Laje,Telhado
​Chaminé,Exaustor
​Arara,Papagaio
​Tucano,Pica-pau
​Coruja,Mocho
​Gavião,Urubu
​Morcego,Beija-flor
​Borboleta,Mariposa
​Vagalume,Joaninha
​Grilo,Cigarra
​Aranha,Carrapato
​Pulga,Piolho
​Minhoca,Centopeia
​Caracol,Lesma
​Sapo,Rã
​Peixe dourado,Carpa
​Salmão,Atum
​Sardinha,Manjubinha
​Camarão,Lagosta
​Caranguejo,Siri
​Mexilhão,Ostra
​Lula,Polvo
​Medusa,Água-viva
​Coral,Esponja do mar
​Alga,Musgo
​Samambaia,Palmeira
​Pinheiro,Eucalipto
​Bambu,Cana-de-açúcar
​Girassol,Margarida
​Orquídea,Tulipa
​Violeta,Lavanda
​Hortelã,Erva-doce
​Alecrim,Tomilho
​Salsa,Coentro
​Cebolinha,Alho-poró
​Pimenta,Pimentão
​Tomate,Caqui
​Abóbora,Moranga
​Pepino,Abobrinha
​Chuchu,Maxixe
​Quiabo,Jiló
​Batata,Batata baroa
​Beterraba,Rabanete
​Cenoura,Mandioquinha
​Alface,Couve
​Espinafre,Brócolis
​Repolho,Acelga
​Couve-flor,Brócolis americano
​Feijão carioca,Feijão preto
Lentilha,Grão-de-bico
​Arroz branco,Arroz integral
​Pipoca,Milho cozido
Papel de parede,Pintura
​Lustre,Arandela
​Interruptor,Tomada
​Extensão,Benjamin (T)
​Cofre,Mealheiro
​Espelho,Vidro
​Mármore,Granito
​Porcelanato,Cerâmica
​Cimento,Argamassa
​Tijolo,Bloco
​Portão eletrônico,Interfone
​Cerca elétrica,Arame farpado
​Câmera de segurança,Sensor de movimento
​Sirene,Alarme
​Extintor,Hidrante
​Para-raios,Antena
​Escritura,Contrato
​Recibo,Nota fiscal
​Cheque,Promissória
​Multa,Boleto
​Imposto,Taxa
​Aposentadoria,Pensão
​Seguro,Garantia
​Herança,Doação
​Testamento,Inventário
​Sócio,Acionista
​Gerente,Diretor
​Secretária,Recepcionista
​Estagiário,Trainee
​Freelancer,Autônomo
​Sindicato,Associação
​Greve,Manifestação
​Voto,Urna
​Candidato,Eleitor
​Prefeito,Governador
​Senador,Deputado
​Embaixada,Consulado
​Passaporte,Visto
​Alfândega,Free shop
​Check-in,Embarque
​Escala,Conexão
​Pouso,Decolagem
​Turbulência,Vácuo
​Paraquedas,Asa-delta
​Teleférico,Bondinho
​Metrô,Trem-bala
​Monotrilho,VLT
​Balsa,Catamarã
​Iate,Veleiro
​Canoa,Caiaque
​Remo,Motor de popa
​Âncora,Boia
​Farol,Bússola
​Radar,Sonar
​Satélite,Telescópio
​Galáxia,Universo
​Buraco negro,Estrela cadente
​Eclipse,Aurora boreal
​Cometa,Meteoro
​Gravidade,Órbita
​Oxigênio,Nitrogênio
​Carbono,Hidrogênio
​Ácido,Base
​Sólido,Líquido
​Vapor,Gás
​Plasma,Energia
​Raio X,Ultrassom
​Tomografia,Ressonância
​Anestesia,Sedação
​Bisturi,Pinça
​Gesso,Atadura
​Soro,Vacina
​Vitamina,Suplemento
​Caloria,Proteína
​Carboidrato,Gordura
​Açúcar,Glúten
​Lactose,Frutose
​Diabetes,Colesterol
​Alergia,Intolerância
​Gripe,Resfriado
​Tosse,Espirro
​Febre,Calafrio
​Enxaqueca,Tontura
​Insônia,Sonolência
​Meditação,Relaxamento
​Terapia,Hipnose
​Memória,Esquecimento
​Intuição,Instinto
​Raciocínio,Lógica
​Dúvida,Certeza
​Fé,Crença
​Religião,Espiritualidade
​Mito,Lenda
​Folclore,Tradição
​Ritual,Cerimônia
​Sacrifício,Oferenda
​Profeta,Oráculo
​Anjo,Demônio
​Paraíso,Inferno
​Eternidade,Infinito
Bússola,GPS
​Maquete,Planta baixa
​Cavalete,Moldura
​Aquarela,Guache
​Giz de cera,Pastel seco
​Mesa de luz,Tablet gráfico
​Escultura,Estátua
​Mosaico,Vitral
​Grafite,Pixo
​Fachada,Vitrine
​Sacada,Varanda
​Corrimão,Guarda-corpo
​Persiana,Blackout
​Lustre,Pendente
​Abajur,Luminária de mesa
​Criado-mudo,Mesa de centro
​Pufe,Banqueta
​Mesa,Escrivaninha
​Prateleira,Nicho
​Gaveteiro,Arquivo
​Cofre,Gaveta trancada
​Porta-retrato,Álbum de fotos
​Relógio de parede,Cuco
​Campainha,Interfone
​Vila,Condomínio
​Sítio,Chácara
​Fazenda,Haras
​Estábulo,Celeiro
​Pasto,Plantação
​Espantalho,Boneco de posto
​Trator,Colheitadeira
​Caminhão,Carreta
​Guincho,Reboque
​Ambulância,Carro de bombeiro
​Viatura,Caveirão
​Blindado,Tanque de guerra
​Submarino,Porta-aviões
​Cruzeiro,Transatlântico
​Canoa,Jangada
​Pedalinho,Caiaque
​Anzol,Rede de pesca
​Isca,Molinete
​Acampamento,Piquenique
​Barraca,Saco de dormir
​Fogueira,Churrasqueira
​Espeto,Grelha
​Farofa,Arroz carreteiro
​Feijoada,Cassoulet
​Moqueca,Bobó de camarão
​Paella,Risoto de frutos do mar
​Sushi,Temaki
​Wasabi,Gengibre
​Hashi,Garfo
​Copo americano,Taça de cristal
​Caneca de chopp,Tulipa
​Garrafa de vidro,Lata de alumínio
​Saca-rolhas,Abridor de latas
​Funil,Coador
​Ralador,Processador
​Batedeira,Liquidificador
​Micro-ondas,Forno elétrico
​Air fryer,Frigideira
​Geladeira,Freezer
​Lava-louças,Tanque
​Varal,Secadora
​Vaporizador,Ferro de passar
​Tábua de passar,Mesa de passar
​Prendedor de roupa,Gancho
​Cabide,Organizador
​Sapateira,Closet
​Maçaneta,Trinco
​Dobradiça,Dobradiça de mola
​Cadeado,Corrente
​Tranca,Ferrolho
​Viga,Coluna
​Canteiro de obras,Almoxarifado
​Capacete,Chapéu de palha
​Luva de couro,Luva de látex
​Máscara de solda,Óculos de proteção
​Protetor auricular,Fone de ouvido
​Botina,Coturno
​Salto alto,Plataforma
​Sapatilha,Mocassim
​Alpargata,Havaianas
​Bota de chuva,Galocha
​Capa de chuva,Guarda-chuva
​Sombrinha,Toldo
​Quiosque,Barraca de praia
​Cadeira de praia,Espreguiçadeira
​Protetor solar,Bronzeador
​Óleo de coco,Azeite de oliva
​Pente,Escova de cabelo
​Secador,Prancha (Chapinha)
​Barbeador,Navalha
​Creme de barbear,Gel de cabelo
​Perfume,Colônia
​Esmalte,Acetona
​Algodão,Cotonete
​Curativo,Band-aid
​Vaporizador,Umidificador
​Exaustor,Coifa
​Fritadeira,Air Fryer
​Sanduicheira,Torradeira
​Moedor de café,Pilão
​Espremedor,Centrífuga
​Saca-rolhas,Abridor de garrafas
​Escumadeira,Concha
​Espátula,Fuê (Batedor)
​Ralador,Mandoline
​Assadeira,Forma de bolo
​Pano de prato,Flanela
​Avental,Luva térmica
​Sabão em barra,Sabão líquido
​Amaciante,Alvejante
​Desengordurante,Limpa-vidros
​Naftalina,Sachê perfumado
​Inseticida,Repelente
​Vela aromática,Incenso
​Difusor,Umidificador
​Porta-copos,Descanso de panela
​Jogo americano,Toalha de mesa
​Cristaleira,Buffet (aparador)
​Sofá-cama,Divã
​Poltrona,Chaise
​Balanço,Rede de descanso
​Escabelo,Banqueta
​Mancebo,Cabideiro
​Penteadeira,Escrivaninha
​Baú,Arca
​Mesa de centro,Mesa lateral
​Arandela,Pendente
​Spot de luz,Plafon
​Trilho de luz,Lustre
​Painel solar,Gerador
​Bateria externa,Power bank
​Filtro de linha,Estabilizador
​Roteiro,Teleprompter
​Microfone de lapela,Microfone de mão
​Tripé,Monopé
​Ring light,Softbox
​Webcam,Câmera DSLR
​Drone,Aeromodelo
​Smartband,Smartwatch
​Console,PC Gamer
​Joystick,Volante de corrida
​Cadeira gamer,Cadeira de escritório
​Mousepad,Deskmat
​Nuvem,Servidor
​Domínio,Hospedagem
​Algoritmo,Fluxograma
​Banco de dados,Planilha
​Criptografia,Senha
​Firewall,Antivírus
​Backup,Restauração
​Upload,Download
​Login,Cadastro
​E-book,PDF
​Podcast,Videocast
​Live,Webinar
​Story,Feed
​Hashtag,Tag
​Link,Hiperlink
​Anexo,Link compartilhado
​Spoiler,Teaser
​Remake,Reboot
​Spin-off,Prequela
​Dublagem,Legenda
​Roteirista,Diretor
​Cenógrafo,Figurinista
​Maquiador,Visagista
​Coreógrafo,Bailarino
​Maestro,Músico
​Sinfonia,Ópera
​Solo,Dueto
​Refrão,Estrofe
​Acorde,Nota musical
​Escala,Partitura
​Metrônomo,Diapasão
​Amplificador,Caixa de som
​Pedal de efeito,Pedaleira
​Palheta,Baqueta
​Corda de nylon,Corda de aço
​Acústico,Elétrico
​Forró,Baião
​Sertanejo,Modão
​Bossa Nova,MPB
​Jazz,Blues
​Funk,Hip Hop
​Reggae,Ska
​Heavy Metal,Hard Rock
​Punk,Grunge
​Techno,House
​Festival,Show solo
​Camarote,Pista
​Backstage,Camarim
​Ingresso,Pulseira