Tipo,Sugestão
Qual é o hábito mais estranho que você tem quando está sozinho?,VERDADE
Se você pudesse trocar de vida com alguém nesta roda por um dia quem seria?,VERDADE
Qual foi a coisa mais ridícula que você já pesquisou no Google?,VERDADE
Você já fingiu que não viu alguém na rua para não ter que cumprimentar?,VERDADE
Qual é o prazer culposo que você tem vergonha de admitir?,VERDADE
Qual foi a pior comida que você já fingiu que gostou por educação?,VERDADE
Se você ganhasse na loteria amanhã qual seria a primeira bobagem que compraria?,VERDADE
Qual é a sua maior red flag em um relacionamento?,VERDADE
Você já stalkeou alguém nas redes sociais e curtiu uma foto antiga sem querer?,VERDADE
Qual é a mania mais irritante que você tem?,VERDADE
Se você fosse um vilão de filme qual seria o seu nome e seu poder?,VERDADE
Qual foi o maior vácuo que você já deu em alguém?,VERDADE
Você já usou o banheiro e percebeu que não tinha papel tarde demais?,VERDADE
Qual é o boato mais absurdo que já inventaram sobre você?,VERDADE
Qual é a sua combinação de comida mais estranha?,VERDADE
Qual foi a última vez que você chorou de rir?,VERDADE
Se você pudesse apagar um evento da sua história qual seria?,VERDADE
Quem foi o seu primeiro crush famoso?,VERDADE
Você já enviou um print de uma conversa para a própria pessoa por erro?,VERDADE
Qual é a coisa mais infantil que você ainda faz hoje em dia?,VERDADE
Se você pudesse mudar de nome qual escolheria?,VERDADE
Qual é o seu maior medo irracional?,VERDADE
Você já mentiu a idade para conseguir algo?,VERDADE
Qual foi o presente mais feio que você já recebeu?,VERDADE
Qual é a sua pior memória escolar?,VERDADE
Se você fosse um animal qual seria baseado na sua personalidade?,VERDADE
Qual é o aplicativo que você tem vergonha do tempo de tela?,VERDADE
Você já dormiu em algum lugar totalmente inapropriado?,VERDADE
Qual é a frase que você mais fala e não percebe?,VERDADE
Se você tivesse que casar com uma celebridade quem seria?,VERDADE
Qual foi a situação mais climão que você já causou?,VERDADE
Você já teve algum sonho estranho com alguém que está aqui?,VERDADE
Qual é a coisa que você faz que irrita todo mundo na sua casa?,VERDADE
Se você fosse uma cor qual seria e por quê?,VERDADE
Qual é o seu talento mais inútil?,VERDADE
Você já tentou cortar o próprio cabelo e deu errado?,VERDADE
Qual é a regra mais boba que você já quebrou?,VERDADE
Se você pudesse falar com um objeto qual seria?,VERDADE
Qual é a sua maior insegurança que você acha que ninguém percebe?,VERDADE
Você já pegou algo emprestado e nunca devolveu?,VERDADE
Qual foi o maior mico que você já pagou em um encontro?,VERDADE
Se você pudesse ressuscitar um estilo de moda antigo qual seria?,VERDADE
Qual é a música que você sempre canta errado mas não admite?,VERDADE
Você já fingiu estar doente para não ir a um compromisso chato?,VERDADE
Qual é o segredo que você guardou por mais tempo?,VERDADE
Se você fosse um emoji qual seria você agora?,VERDADE
Qual é o cheiro mais estranho que você gosta?,VERDADE
Você já se arrependeu de ter enviado uma mensagem logo após enviar?,VERDADE
Qual é a coisa que você mais gasta dinheiro sem necessidade?,VERDADE
Se o mundo acabasse em 1 hora o que você faria?,VERDADE
Componha e cante um rap de 30 segundos sobre a pessoa à sua direita.,DESAFIO
Tente beber um copo d'água sem usar as mãos.,DESAFIO
Poste uma selfie fazendo uma careta ridícula nos Stories por 15 min.,DESAFIO
Fale apenas rimando pelas próximas três rodadas.,DESAFIO
Deixe alguém desenhar um bigode em você usando caneta.,DESAFIO
Comer uma bolacha na testa e levar até a boca sem usar as mãos.,DESAFIO
Faça uma declaração de amor dramática para um objeto da sala.,DESAFIO
Envie para um contato: Eu sei o que você fez.,DESAFIO
Dance balé por 1 minuto sem parar.,DESAFIO
Coma uma colher de ketchup ou mostarda pura.,DESAFIO
Tente tocar o nariz com a língua.,DESAFIO
Faça um tutorial de maquiagem imaginário usando apenas gestos.,DESAFIO
Ligue para um número aleatório e cante Parabéns pra Você.,DESAFIO
Fale com um sotaque de outro estado pelas próximas três rodadas.,DESAFIO
Finja que você é um robô até a sua próxima vez.,DESAFIO
Tente fazer um moonwalk (passo do Michael Jackson).,DESAFIO
Fique em pé em uma perna só pelas próximas duas rodadas.,DESAFIO
Mande um emoji de coração para o seu último crush.,DESAFIO
Faça 20 polichinelos gritando Eu sou incrível!.,DESAFIO
Deixe alguém bagunçar o seu cabelo e fique assim até o fim do jogo.,DESAFIO
Tente imitar a risada de cada pessoa na roda.,DESAFIO
Peça um conselho de vida para a Siri ou Google Assistente em voz alta.,DESAFIO
Faça uma ponte (posição de ginástica) por 10 segundos.,DESAFIO
Coma um pedaço de cebola crua ou um dente de alho.,DESAFIO
Tente equilibrar um chinelo na cabeça enquanto caminha em linha reta.,DESAFIO
Fale sem fechar a boca por 1 minuto.,DESAFIO
Aja como se você fosse um gato e peça carinho para alguém da roda.,DESAFIO
Tente fazer um passinho de funk ou dança atual famosa.,DESAFIO
Leia a última mensagem que você recebeu em voz alta.,DESAFIO
Faça uma massagem nos pés de quem está à sua esquerda por 1 minuto.,DESAFIO
Tente lamber o próprio nariz.,DESAFIO
Mantenha uma conversa séria com uma almofada por 2 minutos.,DESAFIO
Grite pela janela: EU AMO VIVER!.,DESAFIO
Tente fazer uma mímica de um filme e o grupo tem que adivinhar.,DESAFIO
Deixe alguém postar uma frase aleatória na sua rede social.,DESAFIO
Faça 10 flexões de braço.,DESAFIO
Tente colocar 5 marshmallows na boca de uma vez.,DESAFIO
Use as meias nas mãos pelas próximas três rodadas.,DESAFIO
Imite um bebê chorando por 30 segundos.,DESAFIO
Tente assobiar uma música inteira sem rir.,DESAFIO
Conte uma história triste sobre uma tampa de garrafa.,DESAFIO
Deixe o grupo criar um penteado novo em você.,DESAFIO
Fique sem piscar por quanto tempo aguentar contra alguém.,DESAFIO
Tente fazer malabarismo com 3 objetos leves.,DESAFIO
Mande um áudio para um amigo dizendo que ganhou na loteria e desligue.,DESAFIO
Troque de camisa com a pessoa à sua frente.,DESAFIO
Faça uma imitação de um professor ou chefe que todos conheçam.,DESAFIO
Tente ler um parágrafo de um livro de trás para frente.,DESAFIO
Faça uma serenata para alguém usando uma música de Heavy Metal.,DESAFIO
Deixe alguém fazer cócegas em você por 20 segundos sem reagir.,DESAFIO
Qual foi a última coisa que você comprou e se arrependeu instantaneamente?,VERDADE
Você já fingiu estar ouvindo música só para não falar com ninguém?,VERDADE
Qual é a sua teoria da conspiração favorita na qual você secretamente acredita?,VERDADE
Qual é a coisa mais estranha que você já comeu por curiosidade?,VERDADE
Se você pudesse saber a data da sua morte você gostaria de saber?,VERDADE
Qual foi a mensagem mais comprometedora que você já recebeu?,VERDADE
Você já foi expulso de algum lugar? Por quê?,VERDADE
Qual é a coisa que você faz que seus pais achariam muito decepcionante?,VERDADE
Se você pudesse ser um objeto inanimado por um dia o que seria?,VERDADE
Qual é o seu maior medo em relação ao futuro?,VERDADE
Você já chorou assistindo a algum desenho animado ou comercial?,VERDADE
Qual é a sua lembrança mais antiga da infância?,VERDADE
Se você tivesse que mudar para outro país amanhã para onde iria?,VERDADE
Qual é a habilidade que você sempre quis ter mas nunca conseguiu aprender?,VERDADE
Você já teve algum encontro que foi um desastre total?,VERDADE
Qual foi a maior mentira que você já contou para seus pais?,VERDADE
Se você pudesse conversar com qualquer pessoa morta quem seria?,VERDADE
Qual é a sua opinião mais polêmica sobre algo banal (ex: pizza de abacaxi)?,VERDADE
Você já teve algum "amigo imaginário" quando era criança?,VERDADE
Qual é o seu maior arrependimento de moda (roupa que você usou e hoje odeia)?,VERDADE
Você já pesquisou o seu próprio nome no Google? O que achou?,VERDADE
Qual é a característica que você mais admira em alguém nesta roda?,VERDADE
Se você pudesse cometer um crime sem ser pego o que faria?,VERDADE
Qual foi a situação em que você mais sentiu vergonha alheia de alguém?,VERDADE
Você já deu um apelido maldoso para algum professor ou chefe?,VERDADE
Qual é a sua maior mania de limpeza ou organização?,VERDADE
Se você pudesse ser um personagem de filme quem seria?,VERDADE
Você já fingiu gostar de uma banda só para impressionar alguém?,VERDADE
Qual é a coisa mais corajosa que você já fez na vida?,VERDADE
Você prefere ser a pessoa mais inteligente ou a mais engraçada da sala?,VERDADE
Qual é a sua maior superstição (ex: não passar debaixo de escada)?,VERDADE
Você já teve uma queda por algum parente distante ou amigo da família?,VERDADE
Qual é o sonho mais bizarro que você consegue lembrar?,VERDADE
Você já mandou uma mensagem para o grupo errado e passou vergonha?,VERDADE
Qual é a sua rede social favorita e por quê?,VERDADE
Se você fosse naufragar e pudesse levar apenas 3 objetos o que levaria?,VERDADE
Qual foi a maior loucura que você já fez por amor ou amizade?,VERDADE
Você já bisbilhotou o celular de outra pessoa sem ela saber?,VERDADE
Qual é o seu maior talento escondido que ninguém aqui conhece?,VERDADE
Você prefere viajar para o passado ou para o futuro?,VERDADE
Qual é a primeira coisa que você faz ao acordar?,VERDADE
Você já passou por alguma experiência sobrenatural ou inexplicável?,VERDADE
Qual é a pessoa que você mais admira no mundo?,VERDADE
Você já mentiu no currículo ou em uma entrevista de emprego?,VERDADE
Qual é o seu maior vício (café redes sociais doces)?,VERDADE
Se você tivesse que comer apenas uma coisa pelo resto da vida o que seria?,VERDADE
Qual é a música que você quer que toque no seu funeral?,VERDADE
Você já quebrou algo na casa de alguém e não contou?,VERDADE
Qual é a sua maior insegurança física?,VERDADE
Se você pudesse mudar uma lei no país qual seria?,VERDADE
Faça uma leitura dramática da lista de ingredientes de um produto.,DESAFIO
Tente fazer uma ponte humana com alguém da roda.,DESAFIO
Ligue para uma pizzaria e tente pedir um sushi.,DESAFIO
Fique em posição de prancha (plank) por 45 segundos.,DESAFIO
Deixe alguém do grupo postar um emoji de berinjela em um post aleatório seu.,DESAFIO
Tente equilibrar um copo de plástico na cabeça enquanto dá um giro de 360 graus.,DESAFIO
Imite um influenciador digital vendendo um produto inútil por 1 minuto.,DESAFIO
Coma uma fatia de limão sem fazer nenhuma careta.,DESAFIO
Tente fazer um truque de mágica simples (mesmo que falhe).,DESAFIO
Fale o nome de 10 capitais de países em 15 segundos.,DESAFIO
Deixe alguém escrever uma palavra na sua testa com batom.,DESAFIO
Tente assobiar com biscoitos ou farofa na boca.,DESAFIO
Faça uma imitação de alguém desta roda até que o grupo adivinhe quem é.,DESAFIO
Mande um áudio cantando o refrão de uma música de sofrência para o seu ex.,DESAFIO
Aja como um comentarista de futebol narrando as ações da roda por 2 minutos.,DESAFIO
Tente colocar os dois pés atrás da cabeça (ou chegue o mais perto disso).,DESAFIO
Deixe alguém do grupo mudar a sua foto de perfil por 10 minutos.,DESAFIO
Dê um abraço de 30 segundos na pessoa que você menos conhece na roda.,DESAFIO
Tente fazer um "beatbox" básico por 30 segundos.,DESAFIO
Coma uma colher de farinha de trigo pura (cuidado para não engasgar!).,DESAFIO
Tente equilibrar uma vassoura na palma da mão por 10 segundos.,DESAFIO
Fale como se estivesse debaixo d'água até a sua próxima rodada.,DESAFIO
Faça 15 agachamentos enquanto canta o hino nacional.,DESAFIO
Deixe alguém fazer um penteado de "antena" no seu cabelo com elásticos.,DESAFIO
Tente fazer uma mímica de "alguém trocando uma lâmpada e levando um choque".,DESAFIO
Mande uma mensagem para sua mãe dizendo "Eu fui preso" e desminta em 10 segundos.,DESAFIO
Cheire o pé da pessoa ao seu lado e dê uma nota de 0 a 10.,DESAFIO
Dance como se estivesse em uma festa de música eletrônica por 1 minuto.,DESAFIO
Tente desenhar um animal usando apenas a boca e uma caneta.,DESAFIO
Fale apenas em inglês (ou outro idioma) pelos próximos 5 minutos.,DESAFIO
Faça uma massagem nos ombros da pessoa à sua direita.,DESAFIO
Tente abrir um bombom ou doce usando apenas os dedos dos pés.,DESAFIO
Deixe o grupo escolher um vídeo aleatório para você imitar a coreografia.,DESAFIO
Fique sentado no colo de alguém por uma rodada inteira.,DESAFIO
Finja que você é um vendedor de TV e tente vender uma TV quebrada.,DESAFIO
Tente fazer uma rima para cada nome das pessoas presentes.,DESAFIO
Lamba a bochecha da pessoa ao seu lado (peça permissão antes!).,DESAFIO
Faça uma careta de "estou com muito sono" e tire uma foto.,DESAFIO
Tente falar um trava-língua difícil três vezes sem errar.,DESAFIO
Deixe alguém colocar um cubo de gelo dentro da sua camiseta.,DESAFIO
Aja como se você fosse um guia turístico apresentando a sala onde estão.,DESAFIO
Faça uma pose de estátua e fique assim por 2 minutos sem rir.,DESAFIO
Tente imitar o som de 5 animais diferentes em sequência.,DESAFIO
Mande um "Oi sumido(a)" para a quinta pessoa da sua lista de contatos.,DESAFIO
Deixe alguém pintar uma das suas unhas de cada cor diferente.,DESAFIO
Tente lamber o próprio joelho.,DESAFIO
Faça uma serenata para a pessoa mais séria do grupo.,DESAFIO
Tente andar como um modelo de passarela pela sala.,DESAFIO
Coma um pedaço de pão com uma combinação estranha escolhida pelo grupo.,DESAFIO
Grite o nome do seu crush mais antigo pela janela.,DESAFIO